Compound CID,pIC50 (M)
50907761,5.0
53324794,4.310158590862495
44234197,5.0
44421648,4.0
44604739,5.0
44206677,5.0
5889042,5.327902142064283
16099562,6.292429823902063
132582886,5.4089353929735005
5376979,4.787812395596042
11382408,5.585026652029182
16099563,6.42021640338319
118719343,5.0
11650960,4.0
21818908,5.954677021213342
5881,3.6989700043360187
5318517,4.180456064458132
443838,6.769551078621726
42639970,5.0
5479774,5.0
44614019,4.0195421077238995
44418833,5.0
72947454,4.3979400086720375
16215551,4.0
122180302,4.3979400086720375
46918557,4.3979400086720375
19844,4.0
132521527,4.368251925603431
73355235,4.698970004336019
14543641,4.301029995663981
57409127,4.205511953340831
132519890,5.638272163982407
71726086,5.130768280269024
46833119,4.796967112985289
11724205,5.0
160355,4.954677021213342
44421654,4.105683937315561
50908450,5.0
50908726,4.767003889607846
5997,4.301029995663981
11625818,6.107905397309519
94162,5.0
71577598,5.0
72947650,4.3979400086720375
52316408,5.0
5460769,4.275724130399211
173952,4.023374947949272
10624340,3.8239087409443187
66553679,4.450996737974212
50900138,4.455931955649724
73213688,4.8297382846050425
92158,3.3010299956639813
10494,3.8239087409443187
688857,4.301029995663981
85469925,5.920818753952375
5280863,5.2076083105017466
10331844,6.619788758288394
6918774,5.0
6505803,3.3010299956639813
71579126,5.0
134780,4.0
2520,4.292429823902063
5281650,5.0
55245,4.6192462291961
378228,4.3979400086720375
45267139,5.0
23624336,4.366531544420414
70698257,4.822463500070138
45273440,4.301029995663981
64961,4.0
101595,4.3979400086720375
10553647,8.744727494896694
161597,5.698970004336019
76310168,5.0
15559271,3.625801742070917
86342742,5.0
155160,4.607127254597921
76309974,4.3979400086720375
52944511,5.3448615651886175
10114,4.072116589669293
73350630,5.0
71747915,5.075720713938118
5481235,5.066512712151295
118711163,4.3979400086720375
5284616,5.302770657240282
14235913,5.060480747381382
10471963,5.0589857562944305
122182019,5.0
44179018,5.0
59051357,4.0
5711223,4.47729500726525
12004580,5.075720713938118
152946,3.929999096197655
73349169,5.3979400086720375
10982976,5.0
46210326,4.244887733604929
158975,5.0
10278051,7.327902142064283
72708556,4.863279432843593
5280682,6.167491087293763
9975896,4.3979400086720375
443356,5.6777807052660805
64927,4.415216621003492
179577,5.0
50993856,5.274088367704952
5351516,4.7447274948966935
115028,4.892790030352131
267250,4.334419008982047
91540,6.598771832501887
11060310,5.0
637824,5.0
44419741,4.511449283499556
57332649,4.920818753952375
5320815,4.301029995663981
442009,4.388276691992658
10998863,5.966576244513051
132489952,4.614393726401688
56599000,4.301029995663981
57384018,6.1438755557577
5495929,5.721246399047171
118716655,5.008773924307505
5754,4.698970004336019
10652163,7.0
50994146,4.3979400086720375
11122452,4.3979400086720375
70686221,4.3979400086720375
46880035,4.522878745280337
73347308,4.301029995663981
24180662,6.823908740944319
157509,6.045757490560675
44445444,5.0
24853811,0.5440000825817275
5281670,4.309803919971486
44626956,4.050609993355088
73346736,5.0
72702311,5.638272163982407
23626635,4.657577319177793
71746438,5.0
118719342,5.0
73353584,5.075720713938118
66552778,4.0
24970704,4.301029995663981
5281832,5.735182176990463
11213350,5.1791420105603
70684687,4.452102282436903
5315951,6.221848749616356
11273349,5.568636235841013
5394,3.0969100130080562
44557095,4.812479279163537
25019492,4.735182176990463
44419746,4.497572880015567
134138975,5.0
44576028,4.6020599913279625
11211175,4.0
44566454,6.2839966563652006
14845980,4.0
14886044,5.0
44559103,4.921180816901152
2734086,4.301029995663981
71521862,4.154901959985743
14466083,5.173925197299173
45269662,5.0
46850180,5.022276394711152
73349308,5.522878745280337
93147,4.096910013008056
46210589,6.294992040666664
60838,4.75937587981274
44479734,3.677780705266081
46211336,3.9281179926938745
11500744,4.522878745280337
53324863,5.1487416512809245
72702040,5.259637310505756
11561169,5.585026652029182
10411004,3.3010299956639813
16097756,5.13430394008393
57380839,6.275724130399211
5311093,6.0
44419738,4.512861624522813
9929643,4.787812395596042
24796588,4.174573882232177
5319506,4.522878745280337
513197,4.576099081471583
25209064,5.0
15409015,5.136677139879544
38355304,5.431798275933005
53468592,5.0
46210729,5.801068130067791
10565431,4.462180904926726
10144,5.301029995663981
11209020,5.698970004336019
2825024,4.447331783887806
52952438,4.5376020021010435
25015890,4.522878745280337
44607451,4.2564902352715706
3071,5.259637310505756
471722,4.301029995663981
4425,6.443697499232713
44418831,5.0
72291,5.080921907623926
50993898,5.0
132576278,4.555955204081924
14060735,4.3979400086720375
56598999,4.301029995663981
70691524,4.671620396561262
16099564,6.259637310505756
132524067,4.3979400086720375
2948,4.958607314841775
12313665,4.0
15226696,5.991399828238082
91387732,5.0
21125413,5.142667503568732
65411,7.522878745280337
132584643,5.096910013008056
21626427,5.0
5281404,4.0
5281656,5.0
101883237,5.657577319177793
25015150,5.0
5387294,5.723538195826756
44521870,4.928117992693875
5320644,4.454692883534176
21576164,5.123782159408358
15478,6.294992040666664
46918558,4.3979400086720375
71725776,4.3979400086720375
11763148,5.823908740944319
50993663,5.161150909262744
10885724,5.0
86342740,5.0
72702037,5.070581074285707
9867239,5.42021640338319
44559144,4.3979400086720375
5991,7.698970004336019
42640291,5.0
44178849,5.0
51350216,5.698970004336019
46222163,4.313185045492683
3806,4.782516055786093
134146286,5.0
158501,4.466482137983032
44234958,4.562249437179612
53262739,4.728158393463501
3083907,4.3979400086720375
57401814,4.3979400086720375
12310492,5.0
44575544,5.0
45269861,5.6020599913279625
73549,4.954677021213342
72189216,4.301029995663981
21637491,4.208309350979882
11681021,4.5780671867214915
76328406,4.301029995663981
53344589,4.452225294612178
127030867,4.853871964321762
76317501,4.777283528852417
70675008,4.096910013008056
10338591,4.301029995663981
42607560,5.0
132489993,4.522878745280337
6167,7.815308569182402
44179099,5.0
46939685,4.301029995663981
71745711,5.0
102004872,5.0
71746632,5.0
76317050,6.721246399047171
5380645,4.5718652059712115
11638372,4.801893001126599
44583619,4.509900994936695
132524063,4.3979400086720375
122844,4.309803919971486
5350,4.75300930075845
24829332,5.0
73145,4.301029995663981
10367008,5.119186407719209
72946416,4.920818753952375
71456927,4.3979400086720375
11683846,1.7000005038830164
2836049,3.8924508702553138
45102748,5.0
132522277,5.2076083105017466
2179,7.1249387366083
90680617,5.068542129310995
73603998,4.889410289700751
25015070,4.823908740944319
5281805,4.0
72945491,5.356547323513812
10221179,5.0
44254602,3.8239087409443187
44555454,4.721246399047171
308140,4.126214539181799
53297405,5.371611069949688
14756333,5.0
34174827,5.376750709602099
259846,4.301029995663981
11716581,5.301029995663981
56683361,5.0
122177564,5.221848749616356
71524348,4.3979400086720375
11770317,5.324221658325915
11602160,5.645891560852599
127033810,5.0
10450920,5.0385789059335515
122186568,6.6777807052660805
4046,4.97469413473523
99620,5.022276394711152
44479733,4.698970004336019
72543912,4.270025714300444
24853748,0.8859998590508601
442523,4.3979400086720375
57332647,4.7361273231347765
10928875,5.318758762624412
6444206,6.721246399047171
92825,5.044793462458058
21637633,4.363712747901487
158941,6.698970004336019
14314413,5.013228265733755
122177949,4.0
71524349,4.3979400086720375
119307,4.301029995663981
5281426,5.537602002101044
53360478,4.1911141326401875
25255091,4.3979400086720375
100492,6.267606240177032
25227560,5.0
5281758,3.888233566947438
134147688,5.0
46881256,4.0
14777891,5.0
11666935,5.583359492661719
73890960,4.917933065714887
60155148,5.0
56833382,6.619788758288394
90680619,4.0
56602067,5.0
60154784,5.499999678657065
160237,5.096910013008056
73356413,4.3979400086720375
638667,4.301029995663981
